"id","score","PC","sw","cl_size","cl_num"
"RAV40",0.384049132020822,3,0.171868572456546,13,40
"RAV2797",0.349601965274344,1,0.28810337680514,2,2797
"RAV4689",0.31885808703088,1,0.492227396228265,2,4689
"RAV2285",0.307526141849495,3,0.00132222900546234,17,2285
"RAV1933",0.299996731466455,3,0.175444980016155,10,1933
"RAV2406",0.285995452837537,3,0.0436001816781232,9,2406
"RAV2906",0.281169158675027,3,-0.0236190822528495,3,2906
"RAV2441",0.243428048598787,3,-0.0139915930554228,4,2441
"RAV831",0.23842245121275,3,0.121036442070956,11,831
"RAV2468",0.238319991733055,3,-0.0748843767041319,5,2468
"RAV725",0.228895053664327,3,0.0941273393890504,20,725
"RAV1667",0.226334379805036,3,-0.0316702479143828,11,1667
"RAV1694",0.224422820221178,3,-0.0551827924586616,20,1694
"RAV668",0.222756389775131,3,-0.141530435009774,4,668
"RAV703",0.216551510592211,3,-0.125054646366029,8,703
"RAV338",0.215601739815578,3,-0.0468331878729799,21,338
"RAV1209",0.213660766005203,3,0.0317968130635648,15,1209
"RAV341",0.21010207579822,3,-0.108695790647106,9,341
"RAV2920",0.209931253360339,3,-0.0899915859796774,6,2920
"RAV2799",0.20977098099051,3,0.0887872108884551,2,2799
"RAV884",0.202781517241249,3,0.15328697526983,6,884
"RAV2773",0.201191926783011,6,0.0389281384460789,2,2773
"RAV1032",0.201042366537876,3,0.0890793938454743,12,1032
"RAV1498",0.200082216925882,3,0.00242153468687069,8,1498
"RAV2357",0.197403373558907,3,-0.0157648875354378,6,2357
"RAV1202",0.195456729979058,1,0.0250500499310025,2,1202
"RAV865",0.194670031218636,3,-0.0834465955098926,6,865
"RAV2770",0.193222912098302,7,0.014660655182063,3,2770
"RAV1585",0.189956322269217,3,-0.0909804828868796,3,1585
"RAV1696",0.189098821247798,3,-0.127435663845452,6,1696
"RAV2902",0.187704474749934,3,0.210463968567908,6,2902
"RAV1583",0.18638123571331,3,0.0011167163530411,3,1583
"RAV4690",0.18042396777588,1,0.344808265661655,4,4690
"RAV1468",0.175336319099043,3,-0.0550786558593745,7,1468
"RAV2168",0.171718848386021,3,-0.111899515110309,7,2168
"RAV697",0.169339125744969,3,-0.0249255346463009,6,697
"RAV2302",0.168851979263381,3,-0.0236640395594913,5,2302
"RAV726",0.167780268019224,3,-0.0737488432884144,4,726
"RAV2378",0.167595287320438,3,-0.0212171750912129,4,2378
"RAV918",0.164619000246091,3,0.213696795858398,4,918
"RAV343",0.162505684995359,3,-0.00431554876493722,6,343
"RAV2",0.162004406337748,3,0.0642625582881441,21,2
"RAV3109",0.153821022266528,3,0.00686082670184219,2,3109
"RAV1062",0.152350660776439,3,0.104704523795244,5,1062
"RAV3270",0.151550695190504,3,-0.0454936634300143,2,3270
"RAV152",0.151438072980559,3,-0.0813706020034513,8,152
"RAV1497",0.14690673776299,3,0.130408751071947,12,1497
"RAV339",0.145369513402121,3,-0.0472233920291995,12,339
"RAV1614",0.144980976816471,3,-0.0756728713209886,13,1614
"RAV2172",0.144640243309905,3,-0.0463706763694645,6,2172
